id,bid,正文,头条文章url,原始图片url,视频url,Live Photo视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户,完整日期,是否编辑过,编辑次数,是否原创,源用户id,源用户昵称,源微博id,源微博bid,源微博正文,源微博头条文章url,源微博原始图片url,源微博视频url,源微博Live Photo视频url,源微博位置,源微博日期,源微博工具,源微博点赞数,源微博评论数,源微博转发数,源微博话题,源微博@用户,源微博完整日期,源微博是否编辑过,源微博编辑次数
1613305587445665796,1613305587445665796,🦖Large Transformers are powerful but expensive to train &amp; use. The extremely high inference cost is a big bottleneck for adopting them for solving real-world tasks at scale. Check out my new post on some ideas on inference optimization for Transformers: https://t.co/PIr4GHRsA3,,,,,,2023-01-11T22:43:20,,1348,14,252,,,2023-01-11 22:43:20,False,0,True,,,,,,,,,,,,,,,,,,,,
1603520357268611074,1603520357268611074,40 cents per million tokens + cutting edge performance. Why not give our embeddings a try? 😌🐳,,,,,,2022-12-15T22:40:19,,213,12,11,,,2022-12-15 22:40:19,False,0,True,,,,,,,,,,,,,,,,,,,,
1598060001998045185,1598060001998045185,A new toy for your holiday fun 🤩,,,,,,2022-11-30T21:02:49,,87,5,6,,,2022-11-30 21:02:49,False,0,True,,,,,,,,,,,,,,,,,,,,
1592982652486750208,1592982652486750208,DALL·E API in action 🎬 Ref: https://t.co/pwg5emm17f,,,,,,2022-11-16T20:47:15,,48,1,2,,,2022-11-16 20:47:15,False,0,True,,,,,,,,,,,,,,,,,,,,
1589665834666192896,1589665834666192896,Looking for suggestions on my next post topic. A bit stuck right now 🤖🕵️🧚‍♀️👂,,,,,,2022-11-07T17:07:24,,190,83,7,,,2022-11-07 17:07:24,False,0,True,,,,,,,,,,,,,,,,,,,,
1569120449476571136,1569120449476571136,"🧮 I finally spent some time learning what exactly Neural Tangent Kernel (NTK) is and went through some mathematical proof. Hopefully after reading this, you will not feel all the math behind NTK is that scaring, but rather, quite intuitive. https://t.co/iLliYzlJqY",,,,,,2022-09-12T00:27:22,,1009,13,171,,,2022-09-12 00:27:22,False,0,True,,,,,,,,,,,,,,,,,,,,
1565069627473870848,1565069627473870848,"Updated this 1-year old post on diffusion models with some new content based on recent progresses - including classifier-free guidance, GLIDE, unCLIP, Imagen and latent diffusion model.",,,,,,2022-08-31T20:10:51,,951,13,117,,,2022-08-31 20:10:51,False,0,True,,,,,,,,,,,,,,,,,,,,
1549796117289881606,1549796117289881606,RT @OpenAI: DALL·E 2 is officially now in beta. We’ll be inviting 1 million people from our waitlist over the coming weeks. https://t.co/Mi…,,,,,,2022-07-20T16:39:22,,0,0,580,,OpenAI,2022-07-20 16:39:22,False,0,True,,,,,,,,,,,,,,,,,,,,
1536573975098056704,1536573975098056704,"My new post looks into various methods on how to extend a pre-trained foundation language model to be capable of consuming visual signals; in other words, transform a pretrained LM into a VLM to resolve vision language tasks. https://t.co/STAhwQYnJr",,,,,,2022-06-14T04:59:18,,456,8,85,,,2022-06-14 04:59:18,False,0,True,,,,,,,,,,,,,,,,,,,,
1534955875315507200,1534955875315507200,"Check out this post with @gdb, if you are curious about how to train large deep learning models and you may find it is easier than you expected :) Also we are hiring!",,,,,,2022-06-09T17:49:33,,238,7,27,,gdb,2022-06-09 17:49:33,False,0,True,,,,,,,,,,,,,,,,,,,,
